game_id,date,home_team,away_team,home_score,away_score
0022500261,2025-11-19,Oklahoma City Thunder,Sacramento Kings,113,99
0022500262,2025-11-19,Dallas Mavericks,New York Knicks,111,113
0022500263,2025-11-19,Portland Trail Blazers,Chicago Bulls,121,122
0022500264,2025-11-20,Orlando Magic,LA Clippers,129,101
0022500265,2025-11-20,Memphis Grizzlies,Sacramento Kings,137,96
0022500266,2025-11-20,Milwaukee Bucks,Philadelphia 76ers,114,123
0022500267,2025-11-20,San Antonio Spurs,Atlanta Hawks,135,126
0022500268,2025-11-22,Charlotte Hornets,LA Clippers,116,131
0022500269,2025-11-22,Orlando Magic,New York Knicks,133,121
0022500270,2025-11-22,New Orleans Pelicans,Atlanta Hawks,98,115
0022500271,2025-11-22,Chicago Bulls,Washington Wizards,121,120
0022500272,2025-11-22,Milwaukee Bucks,Detroit Pistons,116,129
0022500273,2025-11-22,Dallas Mavericks,Memphis Grizzlies,96,102
0022500274,2025-11-22,Denver Nuggets,Sacramento Kings,123,128
0022500275,2025-11-23,Philadelphia 76ers,Miami Heat,117,127
0022500276,2025-11-23,Atlanta Hawks,Charlotte Hornets,113,110
0022500277,2025-11-23,Boston Celtics,Orlando Magic,138,129
0022500278,2025-11-23,Cleveland Cavaliers,LA Clippers,120,105
0022500279,2025-11-23,Toronto Raptors,Brooklyn Nets,119,109
0022500280,2025-11-23,Oklahoma City Thunder,Portland Trail Blazers,122,95
0022500281,2025-11-23,Phoenix Suns,San Antonio Spurs,111,102
0022500282,2025-11-23,Utah Jazz,Los Angeles Lakers,106,108
0022500283,2025-11-24,Indiana Pacers,Detroit Pistons,117,122
0022500284,2025-11-24,Toronto Raptors,Cleveland Cavaliers,110,99
0022500285,2025-11-24,Brooklyn Nets,New York Knicks,100,113
0022500286,2025-11-24,Miami Heat,Dallas Mavericks,106,102
0022500287,2025-11-24,Memphis Grizzlies,Denver Nuggets,115,125
0022500288,2025-11-24,Milwaukee Bucks,Portland Trail Blazers,103,115
0022500289,2025-11-24,New Orleans Pelicans,Chicago Bulls,143,130
0022500290,2025-11-24,Phoenix Suns,Houston Rockets,92,114
0022500291,2025-11-24,Golden State Warriors,Utah Jazz,134,117
0022500292,2025-11-24,Sacramento Kings,Minnesota Timberwolves,117,112
0022500293,2025-11-29,Minnesota Timberwolves,Boston Celtics,119,115
0022500294,2025-11-29,Charlotte Hornets,Toronto Raptors,118,111
0022500295,2025-11-29,Indiana Pacers,Chicago Bulls,103,101
0022500296,2025-11-29,Miami Heat,Detroit Pistons,135,138
0022500297,2025-11-29,Milwaukee Bucks,Brooklyn Nets,116,99
0022500298,2025-11-29,Golden State Warriors,New Orleans Pelicans,104,96
0022500299,2025-11-29,Phoenix Suns,Denver Nuggets,112,130
0022500300,2025-11-29,LA Clippers,Dallas Mavericks,110,114
0022500301,2025-11-30,Utah Jazz,Houston Rockets,101,129
0022500302,2025-11-30,Cleveland Cavaliers,Boston Celtics,115,117
0022500303,2025-11-30,New York Knicks,Toronto Raptors,116,94
0022500304,2025-11-30,Philadelphia 76ers,Atlanta Hawks,134,142
0022500305,2025-11-30,Portland Trail Blazers,Oklahoma City Thunder,115,123
0022500306,2025-11-30,Minnesota Timberwolves,San Antonio Spurs,125,112
0022500307,2025-11-30,Sacramento Kings,Memphis Grizzlies,107,115
0022500308,2025-11-30,Los Angeles Lakers,New Orleans Pelicans,133,121
0022500309,2025-12-01,Detroit Pistons,Atlanta Hawks,99,98
0022500310,2025-12-01,Indiana Pacers,Cleveland Cavaliers,119,135
0022500311,2025-12-01,Washington Wizards,Milwaukee Bucks,129,126
0022500312,2025-12-01,Brooklyn Nets,Charlotte Hornets,116,103
0022500313,2025-12-01,Miami Heat,LA Clippers,140,123
0022500314,2025-12-01,Orlando Magic,Chicago Bulls,125,120
0022500315,2025-12-01,Denver Nuggets,Dallas Mavericks,121,131
0022500316,2025-12-01,Utah Jazz,Houston Rockets,133,125
0022500317,2025-12-01,Los Angeles Lakers,Phoenix Suns,108,125
0022500318,2025-12-02,Philadelphia 76ers,Washington Wizards,121,102
0022500319,2025-12-02,Toronto Raptors,Portland Trail Blazers,121,118
0022500320,2025-12-02,Boston Celtics,New York Knicks,123,117
0022500321,2025-12-02,New Orleans Pelicans,Minnesota Timberwolves,142,149
0022500322,2025-12-02,San Antonio Spurs,Memphis Grizzlies,126,119
0022500323,2025-12-02,Golden State Warriors,Oklahoma City Thunder,112,124
0022500324,2025-12-03,Cleveland Cavaliers,Portland Trail Blazers,110,122
0022500325,2025-12-03,Indiana Pacers,Denver Nuggets,120,135
0022500326,2025-12-03,Orlando Magic,San Antonio Spurs,112,114
0022500327,2025-12-03,Atlanta Hawks,LA Clippers,92,115
0022500328,2025-12-03,New York Knicks,Charlotte Hornets,119,104
0022500329,2025-12-03,Chicago Bulls,Brooklyn Nets,103,113
0022500330,2025-12-03,Houston Rockets,Sacramento Kings,121,95
0022500331,2025-12-03,Milwaukee Bucks,Detroit Pistons,113,109
0022500332,2025-12-03,Dallas Mavericks,Miami Heat,118,108
0022500333,2025-12-04,Philadelphia 76ers,Golden State Warriors,99,98
0022500334,2025-12-04,Washington Wizards,Boston Celtics,101,146
0022500335,2025-12-04,Brooklyn Nets,Utah Jazz,110,123
0022500336,2025-12-04,Toronto Raptors,Los Angeles Lakers,120,123
0022500337,2025-12-04,New Orleans Pelicans,Minnesota Timberwolves,116,125
0022500338,2025-12-05,Boston Celtics,Los Angeles Lakers,126,105
0022500339,2025-12-05,Orlando Magic,Miami Heat,106,105
0022500340,2025-12-05,Atlanta Hawks,Denver Nuggets,133,134
0022500341,2025-12-05,Cleveland Cavaliers,San Antonio Spurs,130,117
0022500342,2025-12-05,Detroit Pistons,Portland Trail Blazers,122,116
0022500343,2025-12-05,New York Knicks,Utah Jazz,146,112
0022500344,2025-12-05,Toronto Raptors,Charlotte Hornets,86,111
0022500345,2025-12-05,Chicago Bulls,Indiana Pacers,105,120
0022500346,2025-12-05,Houston Rockets,Phoenix Suns,117,98
0022500347,2025-12-05,Memphis Grizzlies,LA Clippers,107,98
0022500348,2025-12-05,Milwaukee Bucks,Philadelphia 76ers,101,116
0022500349,2025-12-05,Oklahoma City Thunder,Dallas Mavericks,132,111
0022500350,2025-12-06,Brooklyn Nets,New Orleans Pelicans,119,101
0022500351,2025-12-06,Washington Wizards,Atlanta Hawks,116,131
0022500352,2025-12-06,Cleveland Cavaliers,Golden State Warriors,94,99
0022500353,2025-12-06,Detroit Pistons,Milwaukee Bucks,124,112
0022500354,2025-12-06,Miami Heat,Sacramento Kings,111,127
0022500355,2025-12-06,Minnesota Timberwolves,LA Clippers,109,106
0022500356,2025-12-06,Dallas Mavericks,Houston Rockets,122,109
0022500357,2025-12-07,New York Knicks,Orlando Magic,106,100
0022500358,2025-12-07,Toronto Raptors,Boston Celtics,113,121
0022500359,2025-12-07,Charlotte Hornets,Denver Nuggets,106,115
0022500360,2025-12-07,Memphis Grizzlies,Portland Trail Blazers,119,96
0022500361,2025-12-07,Chicago Bulls,Golden State Warriors,91,123
0022500362,2025-12-07,Philadelphia 76ers,Los Angeles Lakers,108,112
0022500363,2025-12-07,Utah Jazz,Oklahoma City Thunder,101,131
0022500364,2025-12-08,Indiana Pacers,Sacramento Kings,116,105
0022500365,2025-12-08,Minnesota Timberwolves,Phoenix Suns,105,108
0022500366,2025-12-08,New Orleans Pelicans,San Antonio Spurs,132,135
0022500367,2025-12-17,Chicago Bulls,Cleveland Cavaliers,127,111
0022500368,2025-12-17,Minnesota Timberwolves,Memphis Grizzlies,110,116
0022500369,2025-12-18,Oklahoma City Thunder,LA Clippers,122,101
0022500370,2025-12-18,San Antonio Spurs,Washington Wizards,119,94
0022500371,2025-12-18,Charlotte Hornets,Atlanta Hawks,133,126
0022500372,2025-12-18,Indiana Pacers,New York Knicks,113,114
0022500373,2025-12-18,Brooklyn Nets,Miami Heat,95,106
0022500374,2025-12-18,Milwaukee Bucks,Toronto Raptors,105,111
0022500375,2025-12-18,New Orleans Pelicans,Houston Rockets,133,128
0022500376,2025-12-18,Dallas Mavericks,Detroit Pistons,116,114
0022500377,2025-12-18,Denver Nuggets,Orlando Magic,126,115
0022500378,2025-12-18,Phoenix Suns,Golden State Warriors,99,98
0022500379,2025-12-18,Utah Jazz,Los Angeles Lakers,135,143
0022500380,2025-12-18,Portland Trail Blazers,Sacramento Kings,134,133
0022500381,2025-12-19,Boston Celtics,Miami Heat,129,116
0022500382,2025-12-19,New York Knicks,Philadelphia 76ers,107,116
0022500383,2025-12-19,Atlanta Hawks,San Antonio Spurs,98,126
0022500384,2025-12-19,Cleveland Cavaliers,Chicago Bulls,125,136
0022500385,2025-12-19,Minnesota Timberwolves,Oklahoma City Thunder,112,107
0022500386,2025-12-20,Denver Nuggets,Houston Rockets,101,115
0022500387,2025-12-20,Philadelphia 76ers,Dallas Mavericks,121,114
0022500388,2025-12-20,Toronto Raptors,Boston Celtics,96,112
0022500389,2025-12-20,New Orleans Pelicans,Indiana Pacers,128,109
0022500390,2025-12-20,Detroit Pistons,Charlotte Hornets,112,86
0022500391,2025-12-20,Memphis Grizzlies,Washington Wizards,122,130
0022500392,2025-12-20,Golden State Warriors,Phoenix Suns,119,116
0022500393,2025-12-20,Utah Jazz,Orlando Magic,127,128
0022500394,2025-12-20,Sacramento Kings,Portland Trail Blazers,93,98
0022500395,2025-12-20,LA Clippers,Los Angeles Lakers,103,88
0022500396,2025-12-21,Atlanta Hawks,Chicago Bulls,150,152
0022500397,2025-12-21,Brooklyn Nets,Toronto Raptors,96,81
